                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.6000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.7000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.8000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        0.9000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        3        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        4        0        0.6000000000                         0.0000000000
