                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9200000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9400000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9600000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9800000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9200000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9400000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9600000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9800000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0200000000        0.0011985203
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0400000000        0.0047910866
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0600000000        0.0107687041
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0800000000        0.0191164268
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1000000000        0.0298134723
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1200000000        0.0428333080
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1400000000        0.0581437252
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1600000000        0.0757070008
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1800000000        0.0954800712
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000        0.1174147452
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2200000000        0.1414579330
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2400000000        0.1675519233
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2600000000        0.1956344875
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2800000000        0.2256394309
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3000000000        0.2574964833
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3200000000        0.2911317405
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3400000000        0.3264683600
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3600000000        0.3634260064
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3800000000        0.4019217868
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4000000000        0.4418707663
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4200000000        0.4831859383
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4400000000        0.5257777134
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4600000000        0.5695569191
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4800000000        0.6144319135
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5000000000        0.6603095515
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5200000000        0.7070978420
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5400000000        0.7547052786
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5600000000        0.8030372400
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5800000000        0.8520002668
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6000000000        0.9015031387
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6200000000        0.9514570223
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6400000000        1.0017700354
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6600000000        1.0523508949
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.6800000000        1.1031113253
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7000000000        1.1539695730
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7200000000        1.2048423660
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7400000000        1.2556410971
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7600000000        1.3062881133
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.7800000000        1.3567059365
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8000000000        1.4068159951
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8200000000        1.4565478371
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8400000000        1.5058339103
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8600000000        1.5545989695
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.8800000000        1.6027729346
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9000000000        1.6502994980
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9200000000        1.6971199199
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9400000000        1.7431790499
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9600000000        1.7884161944
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.9800000000        1.8327806235
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        1.0000000000        1.8762153471
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.0800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.1800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.2800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.3800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.4800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.5800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.6800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.7800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.8800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9200000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9400000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9600000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        0.9800000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        1        0        1.0000000000       -0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.0800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.1800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.2800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.3800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.4800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.5800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6200000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6400000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6600000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.6800000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        2        0        0.7200000000        0.0000000000
